	id	lemma	sense_id	left	word	right	senses	tagged_left_context	tagged_word	tagged_right_context
10	11	акция	1	ГЭС - более 9 ГВт. Федеральному агентству по управлению государственным имуществом принадлежит 40 %	акций	"ОАО ""Иркутскэнерго"", 50,19 % акций находятся в собственности частной энергокомпании ""ЕвроСибЭнерго"" (принадлежит"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	гэс - более 9 гвть . федеральный агентство по управление государственный имущество принадлежать 40 %	акция	"оао "" иркутскэнерго "" , 50,19 % акция находиться в собственность частный энергокомпания "" евросибэнерго "" ( принадлежать"
11	12	акция	2	области проходит уже во второй раз, но в этом году официальный старт	акции	"даст глава региона Олег Бетин на митинге, посвященном Празднику Весны и Труда"", -"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	область проходить уже в второй раз , но в этот год официальный старт	акция	"давать глава регион олег бетин на митинг , посвящать праздник весна и труд "" , -"
12	13	акция	1	"), а также инвестиционного банка ""Открытие"" (на 100% принадлежит ФК). ""Размер пакета"	акций	АСВ в объединенном банке составит около 17% при оценочном подходе к определению	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	") , а также инвестиционный банк "" открытие "" ( на 100 % принадлежать фк ) . "" размер пакет"	акция	асв в объединять банк составлять около 17 % при оценочный подход к определение
13	14	акция	1	"состав группы ""Балтика"". Последняя планировала перевести на единую акцию свои дочерние компании,"	акции	которых котировались в RTS Board. Конвертация была запланирована на 28 декабря. Однако	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"состав группа "" балтика "" . последний планировать переводить на единый акция свой дочерний компания ,"	акция	который котироваться в rts board . конвертация быть планировать на 28 декабрь . однако
14	15	акция	1	мог получить около 81 млн долл. Нельзя исключать, что сделка по продаже	акций	офшорам была проведена Deutsche Bank также и с целью налоговой оптимизации, но	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	мочь получать около 81 миллион доллар . нельзя исключать , что сделка по продажа	акция	офшор быть проводить deutsche bank также и с цель налоговый оптимизация , но
15	16	акция	1	40 млрд долл. в течение последних двух лет. С начала года их	акции	подорожали в среднем на 36% и, как полагают аналитики, коррекция им не	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	40 миллиард долловек в течение последний два год . с начало год они	акция	дорожать в среднее на 36 % и , как полагать аналитик , коррекция они не
16	17	акция	1	"Кубка Франции против ""Сошо"", который вывел ""Монако"" в полуфинал турнира, немного повысил"	акции	форварда. Но чтобы убедить руководство княжеского клуба выкупить его контракт у ЦСКА	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"кубок франция против "" сошо "" , который выводить "" монако "" в полуфинал турнир , немного повышать"	акция	форвард . но чтобы убеждать руководство княжеский клуб выкупать он контракт в цска
17	18	акция	1	""" Банка ЗЕНИТ, использовавшего агрессивную стратегию, за год составила 61,5%, то ПИФ"	акций	"""Петр Столыпин"" (УК ""ОФГ Инвест"") -- всего 50,7%. Фонд ""Петрокоммерц-1"" (банк"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	""" банк зенит , использовать агрессивный стратегия , за год составлять 61,5 % , то пиф"	акция	""" петр столыпин "" ( ук "" офг инвест "" ) - - всего 50,7 % . фонд "" петрокоммерц - 1 "" ( банк"
18	19	акция	2	в гетто , подыхали в лесу , согбенные до земли , и , главное , теперь , после	акции	, знали , что их неминуемо ждёт смерть , твёрдо это знали , примирились , свыклись с	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	в гетто , подыхать в лес , согбенный до земля , и , главное , теперь , после	акция	, знать , что они неминуемо ждать смерть , твердо это знать , примириться , свыкнуться с
19	20	акция	2	мы снизили цены на 20--30% на большинство наших продуктов, и эта	акция	действует до конца июня. В зависимости от дальнейшего развития ситуации возможны и	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	мы снижать цена на 20 - - 30 % на большинство наш продукт , и этот	акция	действовать до конец июнь . в зависимость от дальнейший развитие ситуация возможный и
20	21	акция	1	"ансамбля из двух отелей -- ""Будапешт"" и ""Петр I"". Продав на аукционе 100%"	акций	"ОАО ""Отель ""Будапешт"" и 30-процентный пакет в ОАО ""Гостиница ""Будапешт"", структурам,"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"ансамбль из два отель - - "" будапешт "" и "" петр i "" . продать на аукцион 100 %"	акция	"оао "" отель "" будапешт "" и 30-процентный пакет в оао "" гостиница "" будапешт "" , структура ,"
21	22	акция	1	это сделать в ближайшее время. В смешанных фондах (в портфеле могут сочетаться	акции	и облигации) очень много зависит от профессионализма управляющего. Поэтому среди них стоит	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	это делать в ближайший время . в смешать фонд ( в портфель мочь сочетаться	акция	и облигация ) очень много зависеть от профессионализм управлять . поэтому среди они стоять
22	23	акция	1	"этом основные причины высокого инвестиционного рейтинга ""Транснефти"", который не зависит от стоимости"	акций	компании. -- Что Вы можете ответить на претензии экологов к новому проекту трубопровода	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"этот основной причина высокий инвестиционный рейтинг "" транснефть "" , который не зависеть от стоимость"	акция	компания . - - что вы мочь отвечать на претензия эколог к новый проект трубопровод
23	24	акция	1	"состава компании несостоятельны"", -- говорит он. При этом юрист отмечает, что цена выкупа"	акций	должна рассчитываться исходя из комплекса данных за последние полгода. Среди критериев -- средневзвешенные	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"состав компания несостоятельный "" , - - говорить он . при это юрист отмечать , что цена выкуп"	акция	должен рассчитываться исходить из комплекс данные за последний полгода . среди критерий - - средневзвешенный
24	25	акция	1	Мартьянова официально раскрыла акционеров головной одноименной компании группы. Ей принадлежит 9,62%	акций	страховщика, еще 30% -- 14 физлицам, в частности ряду менеджеров компании, а также	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	мартьянов официально раскрывать акционер головной одноименный компания группа . она принадлежать 9,62 %	акция	страховщик , еще 30 % - - 14 физлица , в частность ряд менеджер компания , а также
25	26	акция	1	Unicredit S.p.A. В консорциуме перевозчику будет принадлежать 95%. Для покупки	акций	"""Аэрофлот"" получил принципиальное согласие от банков на финансирование этой сделки, сообщил вчера"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	unicredit s.p.a . в консорциум перевозчик быть принадлежать 95 % . для покупка	акция	""" аэрофлот "" получать принципиальный согласие от банк на финансирование этот сделка , сообщать вчера"
26	27	акция	1	"своей нефтяной ""дочки"". В пресс-службе ""Газпром нефти"" пояснили, что помимо 49,39%"	акций	"SE, которыми компания владеет напрямую, она имеет право приобрести у ""Газпрома"" оставшиеся"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"свой нефтяной "" дочка "" . в пресс-служба "" газпром нефть "" пояснять , что помимо 49,39 %"	акция	"se , который компания владеть напрямую , она иметь право приобретать в "" газпром "" оставаться"
27	28	акция	1	госдолга Армении, который составляет $100 млн. (Армения готова расплачиваться с нами	акциями	своих предприятий.) Кроме того, Россию интересует возможность участия в приватизации энергораспределяющих сетей	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	госдолг армения , который составлять $ 100 миллион . ( армения готовый расплачиваться с мы	акция	свой предприятие . ) кроме то , россия интересовать возможность участие в приватизация энергораспределять сеть
28	29	акция	1	года. Допэмиссию акций завершили в начале сентября 2013 года, а приватизации 49%	акций	"компании так и не состоялось, констатирует собеседник ""Известий"", знакомый с результатами проверки."	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	год . допэмиссия акция завершать в начало сентябрь 2013 год , а приватизация 49 %	акция	"компания так и не состояться , констатировать собеседник "" известия "" , знакомый с результат проверка ."
29	30	акция	1	последнее время размещений на Лондонской фондовой бирже, продолжает стимулировать интерес к своим	акциям	в России. Со вчерашнего дня его акции торгуются не только в РТС,	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	последний время размещение на лондонский фондовый биржа , продолжать стимулировать интерес к свой	акция	в россия . с вчерашний день он акция торговать не только в ртс ,
30	31	акция	1	"""Tele2 Россия"", после того как ВТБ продал 50% из принадлежащих ему 100%"	акций	"сотового оператора. Помимо ""Северстали"" в приобретении пакета акций участвовал также банк ""Россия"""	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	""" tele2 россия "" , после то как втб продавать 50 % из принадлежать он 100 %"	акция	"сотовый оператор . помимо "" северсталь "" в приобретение пакет акция участвовать также банк "" россия """
31	32	акция	1	другую брокерскую компанию с просьбой открыть короткую позицию объемом в 500 тыс.	акций	Apple, представившись местному брокеру сотрудником компании, к которой не имел никакого отношения.	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	другой брокерский компания с просьба открывать короткий позиция объем в 500 тысяча .	акция	эппл , представляться местный брокер сотрудник компания , к который не иметь никакой отношение .
32	33	акция	1	"капитализации российского оператора, доля норвежцев в ""ВымпелКоме"" может увеличиться до 33,3%"	акций	, а Altimo -- до 35,3%. С подобной оценкой соглашается и Надежда Голубева	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"капитализация российский оператор , доля норвежец в "" вымпелком "" мочь увеличиваться до 33,3 %"	акция	, а altimo - - до 35,3 % . с подобный оценка соглашаться и надежда голубев
33	34	акция	1	платежи, но никаких переговоров с ФСК не ведет. Договоры на покупку пакетов	акций	ТГК-6 (23,58%) и ТГК-7 (32,14%) были подписаны КЭС-	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	платеж , но никакой переговоры с фск не вести . договор на покупка пакет	акция	тгк-6 ( 23,58 % ) и тгк - 7 ( 32,14 % ) быть подписывать кэс -
34	35	акция	1	авто по миру. Госн стал генеральным директором компании Renault, которая владеет 44%	акций	Nissan, в 2005 году, сменив на этом посту Луиса Швейцера.Гендиректор Renault	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	авто по мир . госн становиться генеральный директор компания renault , который владеть 44 %	акция	nissan , в 2005 год , сменить на этот пост луис швейцера. гендиректор renault
35	36	акция	1	на базе активов Кузнецкого меткомбината, проданных на конкурсных торгах. Поэтому 100 процентов	акций	"НкМК сразу же находилось в собственности группы. Первым из заводов ""ЕвразХолдинга"" решил"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	на база актив кузнецкий меткомбинат , продать на конкурсный торги . поэтому 100 процент	акция	"нкмк сразу же находиться в собственность группа . первый из завод "" евразхолдинг "" решать"
36	37	акция	1	"""всё сделал и ведет себя корректно по отношению к потребителям и законодательству"","	акции	"""Мечела"" на Нью-йоркской бирже подорожали сразу на 7,7%. Впрочем, отношения ""Мечела"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	""" все делать и вести себя корректно по отношение к потребитель и законодательство "" ,"	акция	""" мечел "" на нью-йоркский биржа дорожать сразу на 7,7 % . впрочем , отношение "" мечел"
37	38	акция	2	этого к варягам были отправлены послы за князем как третейским судьей. Важнейшей	акцией	призвания стало предоставление князю ежегодного дара, то есть жалования, и запрещение князю	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	это к варяг быть отправлять посол за князь как третейский судья . важный	акция	призвание становиться предоставление князь ежегодный дар , то быть жалование , и запрещение князь
38	39	акция	1	американской компании UGS, разработчика программного обеспечения. Одновременно Siemens планирует провести размещение части	акций	своего машиностроительного подразделения VDO. Эксперты считают, что Siemens старается компенсировать негативные эффекты	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	американский компания ugs , разработчик программный обеспечение . одновременно siemens планировать проводить размещение часть	акция	свой машиностроительный подразделение vdo . эксперт считать , что siemens стараться компенсировать негативный эффект
39	40	акция	1	в последние годы популярна среди российских компаний. В прошлом году первичное размещение	акций	на LSE принесло российским компаниям порядка 4,6 млрд долл. На основной	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	в последний год популярный среди российский компания . в прошлый год первичный размещение	акция	на lse приносить российский компания порядка 4,6 миллиард доллар . на основной
40	41	акция	1	составляет 14,8--15,05 долл. за GDR, что, впрочем, соответствует динамике	акций	"компании и на внутреннем рынке"", -- заметил он. Таким образом, снижение бумаг за"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	составлять 14,8 - - 15,05 долловек за gdr , что , впрочем , соответствовать динамика	акция	"компания и на внутренний рынок "" , - - замечать он . такой образ , снижение бумага за"
41	42	акция	1	"один день котировки ""Мечела"" обвалились более чем на 37%. Резкое падение цены"	акций	стало, в свою очередь, поводом для ряда американских акционеров подать иск с	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"один день котировка "" мечел "" обвалиться более чем на 37 % . резкий падение цена"	акция	стать , в свой очередь , повод для ряд американский акционер подавать иск с
42	43	акция	1	"и профессиональным портфельным инвесторам -- ПИФам и хедж-фондам"", -- полагает эксперт. ""Размещение допэмиссий"	акций	генкомпаний преследует две цели: привлечение инвестиций и, что не менее важно, передачу	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"и профессиональный портфельный инвестор - - пифам и хедж -фонда "" , - - полагать эксперт . "" размещение допэмиссия"	акция	генкомпание преследовать два цель : привлечение инвестиция и , что не менее важный , передача
43	44	акция	1	"""Дорогобуж"" и около 1,2% акций ""Апатита"", а норвежцы -- около 8,2%"	акций	"""Апатита"". Говорилось, что СП создается для улучшения условий закупок российского сырья. Но"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	""" дорогобуж "" и около 1,2 % акция "" апатит "" , а норвежец - - около 8,2 %"	акция	""" апатит "" . говорить , что сп создаваться для улучшение условие закупка российский сырье . но"
44	45	акция	1	Sony Pictures Television, завершившая в начале этого года сделку по приобретению 51%	акций	"компании ""Леан-М"". До этого Sony Pictures Television, как и Fremantle Media"	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	sony pictures television , завершившый в начало этот год сделка по приобретение 51 %	акция	"компания "" леан-й "" . до это sony pictures television , как и fremantle media"
45	46	акция	1	усилить подразделение по работе с инвесторами, силами нашего IR удалось вернуть котировки	акций	практически к цене размещения. В глазах конкурентов выход на биржу стал очень	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	усиливать подразделение по работа с инвестор , сила наш ir удаваться вернуть котировка	акция	практически к цена размещение . в глаз конкурент выход на биржа становиться очень
46	47	акция	1	этом заявил в четверг представитель Aircel. Как следует из проспекта первичного размещения	акций	АФК, запланированного на следующую неделю на Лондонской фондовой бирже, на эти цели	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	это заявлять в четверг представитель aircel . как следовать из проспект первичный размещение	акция	афк , планировать на следующий неделя на лондонский фондовый биржа , на этот цель
47	48	акция	1	предложила Deutsche Telekom продать за 3,2 млрд долл. 49-процентный пакет	акций	польского сотового оператора PTC, обслуживающего 10 млн абонентов. От дальнейших комментариев г-н	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	предлагать deutsche telekom продавать за 3,2 миллиард долловек 49-процентный пакет	акция	польский сотовый оператор ptc , обслуживать 10 миллион абонент . от дальнейший комментарий господин
48	49	акция	1	"может понравиться ""приватизаторская"" деятельность банкира. Ведь не напрасно большая часть бывших государственных"	акций	оказалась на балансе оффшорных компаний, хозяева которых пока не названы. Поэтому очень	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	"мочь понравиться "" приватизаторская "" деятельность банкир . ведь не напрасно больший часть бывший государственный"	акция	оказываться на баланс офшорный компания , хозяин который пока не называть . поэтому очень
49	50	акция	2	, праздничные шествия. В Украине состоятся митинги, манифестации, маевки. Накануне праздника проходят благотворительные	акции	с оказанием материальной помощи многодетным и малоимущим семьям, пенсионерам, одиноким гражданам преклонного	1 - Ценная бумага, выпускаемая акционерным обществом; 2 - Действие, выступление кого-л., предпринимаемое для достижения какой-л. цели	, праздничный шествие . в украина состояться митинг , манифестация , маевка . накануне праздник проходить благотворительный	акция	с оказание материальный помощь многодетный и малоимущий семья , пенсионер , одинокий гражданин преклонный
