id	lemma	sense_id	tagged_left_context	tagged_word	tagged_right_context	senses
11	argument	4	this be the line already adopt by binchy ( 1984 ) who interpret world - wide statistics in this direction . divorce be see to be harder on the woman than the man , who could get out of they family responsibility so much very easily with divorce than without it . in oppose the	argument	s marshall by the anti - divorce group , the pro - divorce group argue that , despite the existence of divorce legislation in northern ireland , there be still a low divorce rate . the period of separation in undefended cas be two year , and five year have to run if one of the party oppose the divorce . that man in particular do not benefit from the procedure be suggest by the fact that twice as many woman as man fil for divorce .	None
12	argument	4	one might be forgive for think that the bishop letter have something to do with it and that haughey be intent on construct an alliance between that heed the teaching of the hierarchy and the party faithful . in early may , two - third of fianna fil td from the west have already indicate they would campaign in they constituency against the amendment ( irish time , 2 may 1986 ) . the wood 's speech also introduce an important new	argument	which may have have some considerable effect on irish voter . it suggest that second marriage would substantially infringe the right of inheritance of the member of the first family . in a society of extremely strong rural , traditional value on right of inheritance , the suggestion that constitutional frankenstein would devour constitutional orphan ( dil debates , 14 may 1986 ) be clearly calculate to raise a moral panic , have produce the appropriate folk - devil .	None
13	argument	4	the main ground appear to be the danger which it might pose to the small southern protestant minority by encourag mix marriage . however , no evidence favour such a contention have ever be produce . harry macadoo , then the church of ireland archbishop of dublin , on several occasion put forward the	argument	that southern protestant be a minority group with they own culture and traditions , and thus deserve to have school for they in order to hand on they own tradition . when consider the merit of this argument , one do have to bear in mind the particularly precarious nature of the southern protestant group . protestant opposition to integrate schooling be sometimes hear in the north , particularly from the fundamentalist camp , who not only fear catholic infiltration of state school but be oppose to anything other than bible protestantism in religious education .	None
14	argument	4	however , no evidence favour such a contention have ever be produce . harry macadoo , then the church of ireland archbishop of dublin , on several occasion put forward the	argument	that southern protestant be a minority group with they own culture and traditions , and thus deserve to have school for they in order to hand on they own tradition . when consider the merit of this argument , one do have to bear in mind the particularly precarious nature of the southern protestant group . protestant opposition to integrate schooling be sometimes hear in the north , particularly from the fundamentalist camp , who not only fear catholic infiltration of state school but be oppose to anything other than bible protestantism in religious education . but usually the opposite be the case and popular protestant support for integration be express .	None
15	argument	4	in the debate over the last twenty year there have be considerable interplay of theological and sociological reason , with social scientist also contribute to paper and discussion . what have be see as an aspect of the roman catholic intellectual opposition to divorce in chapter 5 can also be recognize as a feature of the defence of catholic school too : the opposition contain an interpretation of the moral nature of contemporary society and of what happen to catholic who be not to some degree protect from it . in this write 's view , the	argument	s against multi - denominational education and in favour of catholic school support an overall political theology which be strongly base on authority within the church . hierarchy and clergy be see almost to monopolize the teach and wisdo about life . they be both director of soul and minder of the public conscience .	None
16	argument	4	put together with a faith vision of the contemporary social world as inherently secularist and radically subversive of roman catholic value , the combination be significantly reactionary and ethnocentric . the aspect of this political theology will be discuss late . first it be necessary to consider the	argument	s use in the public debate . while the argument of the defender of catholic school have a theological basis , that of the promoter of integrate schooling have be founded on what they see to be the result of the present system , namely a violent and destructive society . but there have be some attempt also to undercut the basic level of the defender 's case .	None
17	argument	4	irish bishop have be well aware of spencer 's ( 1968 ) research . use traditional measure of religiosity , he have point out the apparent failure of english catholic school to produce good catholic and few ex - catholic than state or other school , and have infer the likelihood of the same for irish school . spencer 's	argument	have be band about from time to time . this be not unnatural , as in the 1970 and early 1980s spencer be at the queen 's university , belfast , and an active member of the all child together movement . support for this line of approach have be find in greeley and rossi 's ( 1966 ) survey in the usa on the effectiveness of catholic school .	None
18	argument	4	in the light of w . mccready be finding in another study that the religious behaviour of the father have a great impact on child , greeley consider the fact that catholic school be have an increase influence on man to be of significant importance for the future of roman catholicism in the usa ( 1976 : 1735 ) . clearly , the follow - up study be very favourable to the defender of catholic school than to opponent . however , greeley and rossi 's work also have be use to uphold the defender 's	argument	that , though roman catholic school vary in they efficiency , they be certainly good than any possible alternative in term of produce good roman catholic . thus , both side have tend to use social scientific research to make statement in general about catholic school which have be draw from other country and , therefore , beyond the cultural confine within which irish catholic school exist . this be something for which survey , include that of greeley and rossi , be not and cannot be intended .	None
19	argument	5	there be nothing in the study on the difference between individual catholic school , either in term of pupil experience or the variety of educational practice and personnel in each school . a black - box approach to the schooling process be use with no direct investigation of process within the school . final , while it could be argue that greeley and rossi tell we something of catholic versus state school in the us , they have nothing to tell we about catholic versus christian , multi - denominational school , which be what many of the	argument	in ireland be about . but the central and substantive argument that defender of roman catholic school have have to deal with be that the dual school system in northern ireland encourag , support , or at little reinforce the sectarian divide , and that it form part of the vicious circle maintain conflict in ulster . it have be argue that one could help to break that circle by integrat the school system ( fraser 1974 ; heskin 1980 ) .	None
20	argument	4	a black - box approach to the schoole process be use with no direct investigation of process within the school . final , while it could be argue that greeley and rossi tell we something of catholic versus state school in the us , they have nothing to tell we about catholic versus christian , multi - denominational school , which be what many of the	argument	in ireland be about . but the central and substantive argument that defender of roman catholic school have have to deal with be that the dual school system in northern ireland encourag , support , or at little reinforce the sectarian divide , and that it form part of the vicious circle maintain conflict in ulster . it have be argue that one could help to break that circle by integrat the school system ( fraser 1974 ; heskin 1980 ) . a small number of empirical study actual do in northern ireland have be invok in the course of the debate .	None
21	argument	4	consequently , one have to improve relationship within northern ireland without try to merge the entire school system . however , curricular change , joint teach project , and _ great contact be see necessary . roman catholic church leader have use additional local study to refute	argument	s which treat roman catholic school as part of the northern problem . they have interpret salter 's study of belfast secondary school as show catholic to be less prejudiced than protestant . even if this be so , the implication have be make by catholic school supporter that catholic school have not promote or reinforce any measure of prejudice , and that no other possible type of school could improve on they ( daly 1975 ) .	None
22	argument	4	they have interpret salter 's study of belfast secondary school as show catholic to be less prejudiced than protestant . even if this be so , the implication have be make by catholic school supporter that catholic school have not promote or reinforce any measure of prejudice , and that no other possible type of school could improve on they ( daly 1975 ) . unfortunately , the necessary link to warran this second conclusion a control group of catholic in a multi - denominational situation be simply not available to salter , and so the	argument	be void . use have also be make of russell 's work on the teaching of civics in northern ireland school . the work lead russell he to conclude that the teaching of the subject have no effect whatsoever on pupil 's political outlook .	None
23	argument	2	then all of a sudden , silence . you keep wait for very but it do not come . he work till lunch , then wander into the kitchen and have long	argument	with tony , or perhaps a discussion about the good way to cook trout or whether or not to sack the gardener . in the afternoon he start by sleep , then take over the kitchen and insist on prepare extravagant five - course meal . have i take he into salisbury to the oculist .	None
24	argument	5	i mean , i expect it be difficult to manage without harm they . no each lady have personal place she cake on the long table without assistance . but then mr clancy and mr venables , who have be stand by to offer encouragement , have fall into an	argument	concern position . mr doran have move he wife 's cake to the first position , and mr clancy have move it back to the middle , say the first cake tast have the good chance , and he wife 's cake would be first as it have get there first . mr venables disagree and make some claim about tastebud and they overstimulation .	None
25	argument	4	that agatha christie 's reading be wide - range cannot now be deny , but , even so , the source of one of hercule poirot 's favourite ploy almost , it could be say , he trademark , the gather together of the suspect at the climax of one of he investigation be surprise . it be only after extensive reade through the writing of many author that i come across the work which undoubted give the author this particular inspiration . here , from a late volume of the scot musical museum , be the poem which clinch i	argument	. though publish anonymously , it be undoubted the work of robert burn : ca ' the burgies tae the boggin chorus .	None
26	argument	5	i put martha 's apron on by accident this morning . she will put a fifty - pound note in it and so she think that it have be stol . when i find it , there be an	argument	and we go for each other . when do you discover you mistake about the apron	None
27	argument	5	however , if you be go to fly solo , refuse be the only sensible thing to do . fly demand all you concentration and it be not wise to risk fly if you have business worry or some other mental stress on you mind . even a violent	argument	will leave you mentally high and quite unfit to fly . you can also become unfit in the air through lack of food and drink . both this factor can cause lack of concentration and apathy .	None
28	argument	3	traditionally in anthropology , the ethnographer have study a social system or culture through a period of intensive participant observation in the field . this have generate considerable concern about the ethnographic experience it , and specifically about the subjective nature of the process . unlike the natural science , where discussion often starts with the result and ignore the methodology of the research , the social science and increase anthropology have develope an elaborate	argument	about the practice of do research . the interpretation of culture and even the ability to understand what be happen in the society under scrutiny as well as the need to grapple with political or ethical question be all littendle and fundamental problem of the moment ( phillip 1973 : 78 ) . mere observation and report be inadequate , give the limit scope of thing which can be truly observe ( holy 1984 : 25 ) .	None
29	argument	3	as social dirt they become an affront to purity and possess the danger of the contagious and impure ( dougla 1966 ) , require they removal from the public vision . as yet there be no other body to undertake this task , and even tentative move to remove the problem from the cell block and into the detoxification centre founder in the entrepreneurial 1980 ; for there be little immediate profit to be make from reclamation of this kind of scrap material ( although the long - term value of a humanitarian return might be think to be well worth pursue in a civilized society ! ) . the	argument	be therefore not about police control or a utopium without control , but to explore why some cultural behaviour have a history of police action and to discover where that behaviou fit into police ideology . it status or ( as important ) it lack of value create complex system of meaning which be rare articulate ; for the police world have similar stricture to that which benedict ( 1967 ) descri in she attempt to understand the rigidity of japanis culture : man who have accept a system of value by which to live , cannot without court in - efficiency and chao keep for long a fence - off portion of they life where they think and behave according to a contrary set of value .	None
30	argument	4	to i senior command and in 1986 i inform i chief officer of the acceptance of i ph.d . these , in accordance with the directive lay down by force order . no one , of course , have ask to read it , for if i	argument	be correct the service have no need of any reminder of how the ideology work or how to implement the paradigm which support they cultural norm . nor do they need they daily practice to be expose to the analytic eye of anthropological thick description , for in they task - driven world there be little to be gain by reflect on what they already live and understand . any need to analyse the way in which the multi - variant police world form a coherent and self - sustain whole be material for the social scientist and not the practitioner , for they already live the system as a matter of course .	None
31	argument	4	a good proportion of we work concern we availability to act as an unacknowledged arm of the social welfare service to drug user in crisis situations , provide a front - line service for the speed freak who be od will on the result of a bent script , or the acid head have a bad trip , for we be in the street , the pub , the club , the crash pad , and communal house frequent by the new alternative society . much of we daily work be ten year in advance of the official police community involvement programmes and yet we action be only an extension of that social welfare activity the police have be heavily involve in for generation , but which be never give status as real police work simply because of the institutional emphasis place upon summon list , number of arrest , crime detection , and other statistical returns . many of we new counter - cultural deviant be articulate and present very cogent	argument	s relate to they alleged victimless crime . for example , they would link they cannabis use and an alternative ideology or religious vision to challenge we somewhat static version of social reality . many of the underground at this period in social history be conscious make a journey towards a new spiritual growth ; and this , as furlong ( 1973 : 106 ) suggest ,	None
32	argument	5	the conversation angus cameron look incredulous , permanent . he friend james menzy the wine merchant , in who house he lodge , have say once , infuriate after a two - hour	argument	, angus do you believe nothing completely after think about it , cameron reply , james , i be tell a good thing once , by the sawyer at bunarkaig . i use to help there as a boy .	None
33	argument	4	mrs menzy have die five year before , kill by malaria and stomach trouble from they time in bengal . menzy he have a yellow face with a stained - look flush on each cheekbone , and when he feel a bout of fever come on , he drink to drow the symptoms . now he look over at cameron , take stock of the quizzical lift of he right eyebrow when he look out below he black fringe , the down - turn of he mouth under he long curve nose , and begin to recapitulate he	argument	with care , uncomfortable aware that angus might think he be try not to sound drunk . consid , angus , he say . they have seize the session book at auchtergaven , and kirkmichael , and logierait , and and many another place .	None
34	argument	4	he expect a few dozen people . but the rank and cluster of they stretch uncountable into the darkness . he turn to jame in amazement and see that he be enjoy he surprise , as though it confirm one of he	argument	s . keen waft of pine resin sharpen the air . torch be bubbl out flame and stream smoke .	None
35	argument	5	he let he word trail off . they all go over to the fire for plate of meat and bread . in he mind cameron continue the	argument	throughout the meal . he find in byer a brace scepticism like he own . yet speculation be actual fruitless now .	None
36	argument	4	with the weather hold . there will be fewer to bring it in next year , when the list man have go . menzy bring out the familiar	argument	. they will settle for the devil they know . who do not	None
37	argument	2	yes , urge . by a show of force by reason	argument	s concern the hardship it would bring upon the district if some hundred of the much able - body young man have to go . mr cameron , be you suggest that you repeat speech and mind , we have abundant eye - witness testimony concern they contain no word about the drive out of proprietor or of minister and teacher	None
38	argument	2	i have to adopt the aspect of receptivity . i be very receptive to the bible , authority . i be not interest in	argument	, philosophy i take the simple biblical past have no father i try to capitalise ( on he absence ) , resolve the oedipal struggle , ( create ) good feeling .	None
39	argument	4	since this state of affair be of the essence of human perceptual consciousness and , therefore , of the human mind , it must follow that there be non - physical state of affair essential to the human mind . so a materialist theory of the mind be false . the much primitive physicalist response to this	argument	be to deny the claim that there be anything about the mind that bs do not know . all that bs lack be an ability to respond directly to stimuli of certain sort : v know no much than bs , he can simply do something bs cannot . bs be like a man who know all about swimm , even to the point of be able to train the olympic team , but who cannot swim he , and v be the man with the normal talent for swimm .	None
40	argument	1	but this bring we back to the initial problem , which be precisely to explain how materialism could accommodate such a feel . we cannot , therefore , leave it as an irreducible fact about different physical process that they feel different . in fact , the mode of access	argument	be ambiguous . it might be interpret as say that v have a mode of access to he own brain different from any mode of access to v 's brain available to bs ; or that v have a different mode of access to the external world , and that this constitute the difference between he and bs . it be impossible to deny that v have a different mode of access to the external world from bs , for v can see and bs cannot .	None
41	argument	4	it would make no sense to say that the dot in the picture have a gestalt of they , but to apply this model to the brain and experience would be just like that ; for , if the experience just be a state of the brain , then there be no way in which the character of the experience can be explain as the result of some perspective on the brain . nor , very abstracted , could it be the result of a perspective on the informational content of the brain ; for , in either case , the perspective would have to be the occurrence of some further brain or informational state and to both of this the scientist have complete access , and the problem reoccur . if what i say above be correct , failure of the mode of access	argument	force the materialist to deny that bs lack any knowledge and to adopt a behaviourist theory . when a behaviourist approach be employ , it be not apply only to perception , but to all cognitive state . remember that philosopher of the seventeen and eighteen century have already assimilate think to perception , this be not surprise .	None
42	argument	0	first , an objector might try to press the fashionable distaste for the first - person perspective and say that the fact that i cannot apply the theory to i show nothing except that one should not approach the philosophy of mind via the first person . a philosophical theory be essentially a reflection on a practice , and the first - person perspective express engagement in the practice : to apply the theory first - personal be to confuse level . this be a spurious	argument	. a philosophical account give the necessary and sufficient condition ( at little in outline form ) for the application of a concept , and it should , therefore , apply in principle to anything that be a case of that concept . if it really be the case that all i be do when i have beliefs about the world be to have disposition to behave , then it ought to make sense for i to think of i believe in that term .	None
43	argument	4	in show that cognition as a whole cannot be treat behaviouristically , i have not thereby show that a behaviouristic treatment of sense - experience be false . so perhaps i overkill miss the target : perhaps the behaviourist analysis of perception be sound , even though a general behaviourism be not , and what bs lack be not knowledge of the nature of certain mental state , but only the ability to respond spontaneous to visual stimuli , that be , to respond as a result of actual see they . reflection on the nature of the	argument	against behaviourism in general , however , reveal that the argument refute the behaviourist treatment of perception in particular . that argument show that knowledge of the external world cannot be reduce to behavioural disposition , for the very idea of a disposition function only in the context of an unreduced grasp on the physical world . but there be nowhere else that we might get we conception of the physical world from , other than perception .	None
44	argument	4	there be , though , a host of reason for resist any kind of equation between mental representation and mental picture ; and all of this derive from one fundamental reason . any mental picture will require interpretation , and this interpretation will be another mental operation , which , on the view that think be have mental picture , will be another picture , which it will require interpretation , and so on and so on . this may look like an easy knock - down	argument	against a silly theory which nobody have ever serious hold : but what be true of mental picture would seem to be true of any kind of mental represent process which encode sensation in some determinate form . in other word , the argument work equally against the view that we think in a kind of mental language , that mental sentence rather than mental picture be the stuff of think . sentence and word also require interpretation indeed they would seem to require this very obviously than picture and so we be back on the circle of infinite regress .	None
45	argument	4	well how do i know that this computer do not have a theory of the external world i have no	argument	, an objector would say , just a prejudice . well , i think that there be an argument of sort for say that a computer of the kind descri do not have a theory of the external world , do not have mental state which refer , and do not therefore have thought in any significant sense . there be representation in a language but no knowledge , and therefore no think in the human sense . we should attend to the fact that knowledge of the external world means represent a lot of fact at once , so many fact that we lose hold of the idea of representation .	None
46	argument	1	but this be a fairly repugnant conclusion to many of we . do we really want to say that all we ever learn we know before even if we be say this in some technical computational sense how about a much modest version of the	argument	which say that only certain primitive concept be innate ( about three - dimensionality , causal relation , etcetera ) , and that the much sophisticate concept develop out of this through the time - honour process of differentiat fi concept from global one and integrat the result into complex , structure concept . this be not much help because ( a ) late - develop concept must still on the representational theory of the mind be present in this primitive concept ( there be no mere potential competence such as i potential but non - exist competence to know portuguis ) ; and ( b ) how and where do we draw the line between the primitive concept and the developed one predictable , perhaps , i regard this argument not as a demonstration that the acquisition of new concept be impossible , but as another reductio ad absurdum of the representational theory of the mind .	None
47	argument	4	constructivism and development the constructivist theory of mind regard think on an analogy with action ; just as the representation theory take an analogy with draw and write . moreover , to the same extent that the representational theory be non - developmental ( recall the fodor 's	argument	against learn ) , the constructivist theory be developmental . i would not say that the developmental view be a consequence of the thoughtaction analogy exactly , because there could be constructivist theory that do not mention development . it be certain , though , that the constructivism that have receive the many attention in psychology and philosophy have be the developmental theory of jean piaget .	None
48	argument	4	so why not say , then , that in development perception teach action , that as the information deliver up by the input system become progressive richer the infant become good able to direct he own movement , rather than say that cognisance develop out of action i answer to this point will be very philosophical than empirical . it will rely upon an	argument	from kant . in the critique of pure reason , kant 's aim be to show how objective experience be possible , to set out the conditions necessary for this ; whilst piaget 's aim be to show , give certain kantian assumption , how objective experience actual develop . one of the conditions for ascri to one experience of a mind - independent reality , kant argue , be that we should be capable of distinguish between that sequence of perception ( if you like , representation deliver up by the input system ) which be determine by the movement of object and that which be determine by we own movement .	None
49	argument	4	autism be a very profound cognitive deficit indeed , and everythe that i have say up to now entail that a person who think significantly lacks an holistic character , and lack the relate quality of directedness , inhibition and co - ordination , will be profoundly affect . coda we have cover a lot of ground , and maybe the path through the undergrowth of	argument	s and data be not a very straight or a very clear one . i certainly would not want to attempt a summary of the route we have take all the way from the mind - body problem to child try to win chocolate ; but i do need to make some conclud comment to justify the bold claim in the first paragraph that constructivism make the mind - body problem less intractable . i argue that the representational theory of mind , with it assumption that think be the possession of determinate mental state which be in some sense encoding ( pictorial , syntactic ) of actual or possible state of affair , contribute to the difficulty of the mind - body problem .	None
50	argument	4	i how might such state be both mental and physical at the same time we do not want to say that one kind of state caus the other kind , but neither do it make much sense to say that they be parallel or identical . there be	argument	s for all possible position , but none of they convince we for long ( see chapter 1 and 5 ) . _ that constructivism refer only to mental representation at the level of the input system , as entity which can be translate , very or less directly , into the language of neuropsychology . ( it refuse to take serious the claim that central - system process - think be explicable in terms of the causal interplay of representation . )	None
51	argument	4	much , perhaps all , functionalist be thorough - go materialist who believe that mental phenomena be genuine physical phenomena see at a particular level of abstraction . this commitment to materialism mean that a couple of standard dualist objection must be face . first , there be the dualist 's	argument	that mental process cannot be physical process because physical entity such as neuron - lack certain quality such as intentionality or consciousness that characterize the mental . the response to this be that intentionality and consciousness be emergent property of physical system . neuron do not individually have the property of consciousness , consciousness emerge when a large number of neuron be interact in the right kind of way ; just as speed be a property not of any single component of a car , but an emergent property of the whole system when it be operat in an appropriate way .	None
52	argument	4	furthermore , the work of young and he colleague , which i shall be discuss late in the chapter , show that be aware of the operation of , say , one be face processe system have vitally important functional consequence . however , the functionalist view be that it would be quite misguide to attempt to explain behaviou by make direct reference to the subjective or phenomenal quality ( technically know as qualia ) of this mental state . if it be really necessary to think of mental state as have qualitative content ( and see dennett , 1988 , for some powerful	argument	s that it be not ) , then it follow from functionalism that such qualium do not have causal interaction with other mental state or behaviour and be mere epiphenomena . successful science the sceptic might , at this point , complain that while i may have sketch out the functionalist position , i have not provide any convince argument as to why one should believe it .	None
53	argument	4	if it be really necessary to think of mental state as have qualitative content ( and see dennett , 1988 , for some powerful	argument	s that it be not ) , then it follow from functionalism that such qualium do not have causal interaction with other mental state or behaviour and be mere epiphenomena . successful science the sceptic might , at this point , complain that while i may have sketch out the functionalist position , i have not provide any convince argument as to why one should believe it . what i now want to suggest be that there be a lot of very successful science currently be conduct which literal depend on functionalism be true . if functionalism be false , then the success of the cognitive science be a massive scientific fluke .	None
54	argument	4	this be the myth that i want to examine here . although the majority of scientist tend to be a little coy about metaphysical matter in they professional publication , they be often less so outside when write elsewhere , be prone to describe the framework of presupposition about perception within which they conduct they investigation as if it be a discovery in it own right and that discovery an explanation of perception . and although the majority of materialist philosopher base they belief in the neurophysiological theory of perception on	argument	s rather than observation , they be , nevertheless , greatly influence by the apparent success of neurophysiology . the materialist theory of perception we may think of consciousness as have two component : sensation and perception on the one hand and willing or agency on the other ; or input and output .	None
55	argument	4	moreover , rather as substance dualism tend to do , it seem to undermine the causal role of consciousness in , for example , bring about or influence action . for the causal relation of events would be just the same irrespective of whether or not the causal chain temporarily took on a mental aspect ( as in property dualism ) or ( as in substance dualism ) go mental for a while . a far tell	argument	against the dual aspect theory - and one that have be rare notice be that aspect be relative to viewpoint ; in other word , they emerge posterior to perception . they cannot , therefore , be invok to explain perception , even less the manner in which perception be relate to matter . much scientist implicitly , and the many philosopher explicitly , prefer identity theories .	None
56	argument	4	the monotony of the individual neurone be irrelevant ; what matter be the infinite variety of they combination , of they pattern , which will become evident when we look at the nervous system at the right level . i shall deal with the language of neurophysiological description shortly . however , it be necessary to say a word or two here to refute this seemingly compell	argument	. we be so use to hear talk about the nervous system encod the outside world that it be easy to forget that this be a metaphor and it be one that have no place in serious philosophical discussion of the mind - body problem or the philosophy of perception . the reason the cod metaphor have such currency in contemporary talk about perception be that it seem to suggest a way in which very simple and apparently homogenous element such as nerve impulse can generate the richness and variety of consciousness .	None
57	argument	5	she cry out . it be she nail scissor that she will be search for day , lose under the hearthrug and press into she hip ; and the cry be also she virginity , small and bewilder and go . afterwards somehow an	argument	start . be they both unhappy niall send she up in he lilt belfast voice for claim irish blood .	None
58	argument	4	have realise , i suspect , at little for the time be , that they be not go to get anywhere in they fight for equal prize money at wimbledon or the french , the women 's tennis association have come up with another proposal which i know have support in some area but which i certainly hope will also bite the dust . what they want in future be 32 seed in all the grand slam tournament instead of the 16 they have at present . they	argument	be that it be good for the tournament , a s well as the player concern , if as many as possible of the high rank competitor survive the early round . they also claim that the player have earn this protection by the performance in the rest of the year which have bring about they ranking . in i view , to have 32 seed , even in the man 's single where there be far great depth of talent than among the woman , cannot possible be justify .	None
